City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,longyearbyen,78.2186,15.6401,-7.09,79,75,7.72,SJ,1708660228
145,rongelap,11.1635,166.8941,26.46,83,61,10.09,MH,1708660229
146,strezhevoy,60.7333,77.5889,-18.05,95,100,3.49,RU,1708660229
147,el tarf,36.7672,8.3138,14.87,63,99,3.16,DZ,1708660229
148,georgetown,5.4112,100.3354,33.3,62,20,4.12,MY,1708660230
149,jose pedro varela,-33.45,-54.5333,20.14,92,100,2.97,UY,1708660230
150,turki,51.987,43.2731,-11.99,96,70,3.95,RU,1708660230
151,madimba,-10.4,40.3333,26.62,94,40,1.03,TZ,1708660231
152,gueret,46.1667,1.8667,3.07,92,73,4.23,FR,1708660231
153,kurinjippadi,11.5667,79.6,29.16,66,21,3.94,IN,1708660231
154,nanao,37.05,136.9667,5.71,78,100,4.15,JP,1708660231
155,xapuri,-10.6517,-68.5044,23.0,99,100,1.11,BR,1708660232
156,viedma,-40.8135,-62.9967,16.66,72,58,5.24,AR,1708660232
157,conselheiro lafaiete,-20.6603,-43.7861,18.4,99,100,0.95,BR,1708660232
158,eyl,7.9803,49.8164,25.18,70,100,7.63,SO,1708660233
159,nampa,43.5407,-116.5635,7.68,78,0,0.0,US,1708660233
160,nova sintra,14.8667,-24.7167,20.5,70,100,10.52,CV,1708660233
161,agryz,56.5203,52.9942,-23.89,100,98,2.3,RU,1708660234
162,swakopmund,-22.6833,14.5333,15.55,87,71,0.89,NA,1708660234
163,dali,25.7,100.1833,14.36,60,77,4.11,CN,1708660234
164,hawaiian paradise park,19.5933,-154.9731,22.73,82,100,4.12,US,1708660234
165,prince george,53.9166,-122.753,1.46,87,0,1.54,CA,1708660186
166,afaahiti,-17.75,-149.2833,28.93,75,61,0.68,PF,1708660235
167,bushehr,28.9684,50.8385,15.05,58,0,3.09,IR,1708660235
168,katsuren-haebaru,26.3369,127.8719,24.21,69,75,5.14,JP,1708660235
169,nuku'alofa,-21.1333,-175.2,27.19,89,75,5.66,TO,1708660235
170,la malbaie,47.6575,-70.1559,1.47,97,96,2.41,CA,1708660236
171,fort st. john,56.2499,-120.8529,2.94,52,75,7.72,CA,1708660236
172,bischofsheim an der rhon,50.4024,10.0075,4.92,81,100,5.94,DE,1708660236
173,stanley,54.868,-1.6985,2.93,89,40,4.12,GB,1708659975
174,forster,-32.1667,152.5167,30.72,55,19,4.11,AU,1708660237
175,port macquarie,-31.4333,152.9167,32.72,62,15,4.74,AU,1708660098
176,jedlicze,49.7175,21.6489,9.58,78,100,10.15,PL,1708660241
177,tadine,-21.55,167.8833,27.57,72,50,5.93,NC,1708660242
178,gabes,33.8815,10.0982,10.98,58,0,6.69,TN,1708660245
179,wailua homesteads,22.0669,-159.378,26.24,74,87,3.13,US,1708660247
180,merizo village,13.2658,144.6691,28.32,86,97,7.64,GU,1708660247
181,praia da vitoria,38.7333,-27.0667,14.14,72,75,3.21,PT,1708660004
182,avarua,-21.2078,-159.775,27.03,94,75,6.17,CK,1708660248
183,port lincoln,-34.7333,135.8667,19.07,55,63,7.71,AU,1708660248
184,siniscola,40.5719,9.6922,14.75,63,100,4.12,IT,1708660248
185,obo,5.3998,26.4869,24.46,39,100,0.69,CF,1708660248
186,cueto,20.6439,-75.9356,17.29,74,2,1.62,CU,1708660259
187,nikki,9.9401,3.2108,25.28,19,22,1.81,BJ,1708660259
188,sao felix do xingu,-6.6447,-51.995,22.13,99,92,0.98,BR,1708660259
189,labytnangi,66.6572,66.4183,-18.03,96,100,1.84,RU,1708660260
190,san ignacio,17.1561,-89.0714,20.08,83,0,2.06,BZ,1708660262
191,fort leonard wood,37.7057,-92.1572,12.1,56,0,2.06,US,1708660272
192,guerrero negro,27.9769,-114.0611,16.32,80,100,5.14,MX,1708660272
193,tukrah,32.5341,20.5791,14.39,60,49,8.1,LY,1708660273
194,cockburn town,21.4612,-71.1419,23.76,52,0,4.71,TC,1708660273
195,greymouth,-42.4667,171.2,17.23,66,2,3.33,NZ,1708660059
196,ulsteinvik,62.3432,5.8487,5.5,89,100,1.34,NO,1708660274
197,bata,1.8639,9.7658,25.31,91,100,3.54,GQ,1708660275
198,trondheim,63.4305,10.3951,7.05,74,100,1.79,NO,1708660275
199,sitka,57.0531,-135.33,6.94,76,100,7.2,US,1708660017
200,anadyr,64.75,177.4833,-14.72,65,40,10.0,RU,1708660277
201,mbanza kongo,-6.267,14.2401,20.94,97,100,0.13,AO,1708660277
202,aykhal,66.0,111.5,-15.85,61,100,1.77,RU,1708660278
203,taksimo,56.3444,114.8794,-19.64,91,98,0.82,RU,1708660279
204,tyul'gan,52.3405,56.166,-27.38,99,21,0.99,RU,1708660279
205,kerewan,13.4898,-16.0888,24.03,15,89,5.69,GM,1708660280
206,ouadda,8.0777,22.4007,21.76,23,98,1.85,CF,1708660280
207,swift current,50.2834,-107.8014,-0.55,80,0,6.69,CA,1708660281
208,midvagur,62.0511,-7.1939,0.46,93,75,0.0,FO,1708660281
209,figuig (centre),32.1089,-1.2286,12.36,27,63,2.51,MA,1708660282
210,yoro,15.1333,-87.1333,15.3,82,0,1.04,HN,1708660283
211,bathsheba,13.2167,-59.5167,26.34,83,20,4.12,BB,1708660283
212,san martin,-33.081,-68.4681,21.3,35,98,3.91,AR,1708660283
213,ghazni,33.5536,68.4269,-2.37,37,2,2.68,AF,1708660284
214,usinsk,65.9939,57.5281,-6.63,94,100,9.39,RU,1708660096
215,revda,56.801,59.9303,-20.02,100,100,2.34,RU,1708660285
216,konstantinovka,49.6167,127.9833,-8.35,69,0,2.89,RU,1708660286
217,dzhalagash,45.0833,64.6667,-7.85,72,6,3.15,KZ,1708660286
218,kishtwar,33.3167,75.7667,2.22,43,33,0.98,IN,1708660286
219,piti village,13.4626,144.6933,28.5,78,20,9.77,GU,1708660287
220,key west,24.5557,-81.7826,19.0,77,0,2.06,US,1708660287
221,tangalle,6.024,80.7911,29.09,73,64,3.0,LK,1708660090
222,karratha,-20.7377,116.8463,32.28,64,84,10.04,AU,1708660290
223,nacala,-14.5428,40.6728,24.88,94,86,1.92,MZ,1708660290
224,aswan,24.0934,32.907,17.61,34,0,3.09,EG,1708660283
225,ulladulla,-35.35,150.4667,26.23,69,94,6.56,AU,1708660290
226,comodoro rivadavia,-45.8667,-67.5,12.92,62,40,5.66,AR,1708660291
227,port victoria,0.0939,33.9756,22.86,54,100,5.18,KE,1708660291
228,jianshui,23.6363,102.8264,24.2,27,0,4.43,CN,1708660291
229,kirensk,57.7853,108.1119,-19.46,92,100,1.79,RU,1708660292
230,piacabucu,-10.4056,-36.4344,26.14,87,84,3.44,BR,1708660292
231,nellikkuppam,11.7667,79.6833,28.52,71,48,4.24,IN,1708660292
232,qaqortoq,60.7167,-46.0333,-19.31,84,15,2.56,GL,1708660293
233,puerto ayora,-0.7393,-90.3518,25.86,98,31,2.26,EC,1708660293
234,holualoa,19.6228,-155.9522,23.21,71,46,4.5,US,1708660293
235,adelaide,-34.9333,138.6,22.46,50,75,8.75,AU,1708660271
236,yarmouth,41.7057,-70.2286,3.08,86,100,3.09,US,1708660294
237,al kharijah,25.4514,30.5464,17.12,35,100,1.73,EG,1708660294
238,arteche,12.2645,125.4048,28.78,66,63,4.01,PH,1708660294
239,ushtobe,45.2514,77.9838,-6.7,74,100,0.82,KZ,1708660295
240,pingliang,35.5392,106.6861,-5.03,86,100,2.02,CN,1708660295
241,iquique,-20.2208,-70.1431,23.02,77,100,1.92,CL,1708660102
242,san pedro,14.35,121.0167,31.31,72,40,5.36,PH,1708660051
243,howrah,22.5892,88.3103,22.0,83,75,3.09,IN,1708660296
244,hassi messaoud,31.6804,6.0729,10.92,54,0,2.57,DZ,1708660296
245,vilyuysk,63.7553,121.6247,-20.56,94,95,0.89,RU,1708660296
246,queenstown,-31.8976,26.8753,14.72,87,82,1.16,ZA,1708660296
247,siwa oasis,29.2041,25.5195,14.25,66,100,4.51,EG,1708660297
248,nikolayevsk-on-amure,53.1406,140.73,-13.5,71,45,5.79,RU,1708660297
249,kalabo,-14.97,22.6814,19.02,52,64,2.56,ZM,1708660297
250,villeneuve-sur-lot,44.5,0.6667,6.03,89,60,4.65,FR,1708660297
251,badger,64.8,-147.5333,-1.86,78,100,5.66,US,1708660298
252,chernyshevsk,52.5243,117.0174,-17.93,86,99,1.08,RU,1708660298
253,east london,-33.0153,27.9116,20.52,100,100,2.06,ZA,1708660298
254,punta gorda,26.9298,-82.0454,16.11,87,0,2.06,US,1708660120
255,silvi,42.5456,14.122,16.04,40,75,9.39,IT,1708660299
256,yemva,62.59,50.8594,-10.16,95,100,3.92,RU,1708660299
257,ballina,-28.8667,153.5667,34.88,64,7,5.56,AU,1708660299
258,timmins,48.4669,-81.3331,1.9,51,75,3.6,CA,1708660300
259,benjamin hill,30.1667,-111.1,17.6,36,85,4.05,MX,1708660300
260,port alfred,-33.5906,26.891,19.54,99,100,6.9,ZA,1708660300
261,kavaratti,10.5669,72.642,27.48,67,13,4.76,IN,1708660301
262,utrik,11.2278,169.8474,26.42,85,56,9.34,MH,1708660301
263,ola,59.5833,151.2833,-16.03,65,17,6.68,RU,1708660302
264,hamilton,39.1834,-84.5333,9.49,92,100,4.63,US,1708660302
265,melilla,35.2937,-2.9383,18.21,48,20,3.09,ES,1708660302
266,nagqu,31.5,92.0,-9.45,51,100,1.98,CN,1708660302
267,ismailia,30.6043,32.2723,13.55,78,95,3.38,EG,1708660302
268,camarinas,43.1311,-9.1817,10.52,67,96,12.62,ES,1708660303
269,loanda,-8.8368,13.2343,26.0,89,40,1.54,AO,1708660303
270,adam,22.3756,57.5233,20.19,66,0,2.05,OM,1708660303
271,taroa,8.7058,171.2275,27.67,76,46,7.57,MH,1708660303
272,port blair,11.6667,92.75,28.58,59,12,3.75,IN,1708660304
273,aasiaat,68.7098,-52.8699,-19.77,98,100,3.42,GL,1708660032
274,souillac,-20.5167,57.5167,26.3,89,75,1.54,MU,1708660304
275,bielsk podlaski,52.7651,23.1865,6.13,87,100,7.4,PL,1708660304
276,sur,22.5667,59.5289,22.68,51,1,0.61,OM,1708660304
277,bochum,51.4833,7.2167,6.21,85,72,4.02,DE,1708660305
278,enewetak,11.3474,162.3373,26.41,83,76,11.12,MH,1708660305
279,inderbor,48.55,51.7833,-11.66,60,100,4.04,KZ,1708660305
280,hithadhoo,-0.6,73.0833,28.19,77,98,2.33,MV,1708660306
281,anan,33.9167,134.65,6.88,82,100,8.92,JP,1708660306
282,crane,31.3974,-102.3501,16.18,22,1,5.19,US,1708660010
283,iranshahr,27.2025,60.6848,12.19,24,0,3.09,IR,1708660306
284,kili,5.6439,169.1211,28.15,78,60,9.42,MH,1708660306
285,pankovka,58.5,31.1999,1.17,97,100,5.36,RU,1708660307
286,marivan,35.5219,46.176,3.88,76,69,1.28,IR,1708660307
287,pangkalanbuun,-2.6833,111.6167,34.7,49,73,1.07,ID,1708660307
288,brookings,44.3114,-96.7984,2.32,87,0,2.57,US,1708660135
289,zhosaly,45.4878,64.0781,-8.9,77,7,3.98,KZ,1708660308
290,sao gabriel da cachoeira,-0.1303,-67.0892,27.6,64,70,0.23,BR,1708660308
291,illizi,26.4833,8.4667,8.89,35,0,3.09,DZ,1708660308
292,namibe,-15.1961,12.1522,24.1,82,100,2.09,AO,1708660309
293,kani keli,-12.9536,45.1033,26.59,76,99,2.49,YT,1708660309
294,kainan,34.15,135.2,6.02,87,100,5.53,JP,1708660309
295,hofors,60.5457,16.2867,2.62,100,100,5.13,SE,1708660309
296,luganville,-15.5333,167.1667,30.03,75,100,3.22,VU,1708660310
297,tura,25.5198,90.2201,24.13,39,21,2.29,IN,1708660310
298,bikenibeu village,1.3673,173.1241,31.98,79,20,3.6,KI,1708660310
299,aras-asan,8.8908,126.3033,26.82,84,90,3.11,PH,1708660310
300,yeosu,34.7546,127.6599,5.93,66,100,6.91,KR,1708660311
301,keflavik,64.0049,-22.5624,0.24,93,20,4.12,IS,1708660312
302,port elizabeth,-33.918,25.5701,19.06,94,100,1.03,ZA,1708660312
303,uturoa,-16.7333,-151.4333,28.54,71,56,0.95,PF,1708660313
304,kiunga,-6.1219,141.2906,31.18,75,67,1.46,PG,1708660313
305,alofi,-19.0595,-169.9187,25.94,100,75,2.06,NU,1708660314
306,jieshou,33.2634,115.3611,-1.86,81,40,3.5,CN,1708660315
307,whitehorse,60.7161,-135.0538,1.43,48,40,9.77,CA,1708660315
308,lazaro cardenas,17.9583,-102.2,23.26,84,1,1.37,MX,1708660063
309,ventspils,57.3894,21.5606,6.96,93,100,6.17,LV,1708660316
310,hasaki,35.7333,140.8333,3.22,88,100,10.66,JP,1708660318
311,bardai,11.65,7.2333,22.72,32,100,3.17,NG,1708660318
312,pisco,-13.7,-76.2167,24.03,88,0,5.66,PE,1708660318
313,kadom,54.5592,42.4675,-8.03,94,95,4.66,RU,1708660319
314,homer,59.6425,-151.5483,1.94,55,40,6.69,US,1708660319
315,arinos,-15.9169,-46.1056,21.27,98,100,0.86,BR,1708660319
316,slave lake,55.2834,-114.769,-2.01,69,20,0.0,CA,1708660319
317,pacific grove,36.6177,-121.9166,12.06,83,0,0.45,US,1708660320
318,vilhena,-12.7406,-60.1458,20.57,99,99,2.3,BR,1708660320
319,nadi,-17.8,177.4167,30.0,74,40,3.6,FJ,1708660320
320,waveland,30.2869,-89.3762,20.02,88,40,4.12,US,1708660320
321,castillos,-34.1667,-53.8333,20.15,93,100,2.42,UY,1708660321
322,palmas,-10.2128,-48.3603,23.93,94,75,3.09,BR,1708660321
323,vila franca do campo,37.7167,-25.4333,12.23,76,66,1.62,PT,1708660321
324,burlington,39.8835,-74.6413,6.1,94,100,1.54,US,1708660321
325,fort bragg,35.139,-79.006,14.0,50,20,5.66,US,1708660322
326,hilo,19.7297,-155.09,24.6,84,100,4.12,US,1708660322
327,jayapura,-2.5333,140.7,29.66,76,97,2.78,ID,1708660323
328,puerto baquerizo moreno,-0.9,-89.6,26.15,86,51,3.89,EC,1708660323
329,lamu,-2.2717,40.902,26.78,84,100,6.09,KE,1708660324
330,belmar,40.1785,-74.0218,6.1,91,100,2.57,US,1708660324
331,orita eruwa,7.55,3.4333,27.82,68,95,1.73,NG,1708660324
332,sao paulo de olivenca,-3.3783,-68.8725,25.7,74,78,0.58,BR,1708660325
333,sao vicente,-23.9631,-46.3919,28.1,87,7,1.34,BR,1708660325
334,murudeshwara,14.0943,74.4845,26.76,56,50,1.81,IN,1708660325
335,la passe,45.5549,-0.8967,7.13,75,100,8.22,FR,1708660325
336,pathein,16.7833,94.7333,31.61,34,6,4.39,MM,1708660326
337,kaiapoi,-43.3783,172.6401,26.5,65,1,6.69,NZ,1708660326
338,chake chake,-5.2459,39.7666,27.95,76,100,4.28,TZ,1708660326
339,gadzhiyevo,69.2551,33.3362,-0.57,88,98,7.27,RU,1708660326
340,haiku-pauwela,20.9219,-156.3051,22.36,78,88,3.58,US,1708660326
341,antofagasta,-23.65,-70.4,20.6,73,0,1.98,CL,1708660075
342,bijar,35.8668,47.6051,-0.22,74,23,2.08,IR,1708660327
343,mar del plata,-38.0023,-57.5575,20.53,87,0,3.13,AR,1708660327
344,weno,7.4515,151.8468,28.97,89,100,4.12,FM,1708660060
345,kerikeri,-35.2268,173.9474,21.56,71,84,2.02,NZ,1708660328
346,sao joao da barra,-21.6403,-41.0511,24.5,93,99,5.43,BR,1708660329
347,neiafu,-18.65,-173.9833,27.38,94,75,1.54,TO,1708660329
348,flying fish cove,-10.4217,105.6791,29.82,74,75,3.09,CX,1708660329
349,saldanha,-33.0117,17.9442,13.03,80,0,3.32,ZA,1708660330
350,mangai,-4.05,19.5333,22.52,97,99,0.36,CD,1708660330
351,fada,9.5667,8.3,23.35,25,99,4.42,NG,1708660330
352,rabaul,-4.1967,152.1721,28.92,76,78,5.39,PG,1708660330
353,arkhangel'sk,64.5401,40.5433,-1.94,86,100,3.0,RU,1708660330
354,takanosu,40.2219,140.3694,0.36,69,75,4.63,JP,1708660331
355,barra de santo antonio,-9.4047,-35.5072,26.6,86,8,2.63,BR,1708660331
356,la ronge,55.1001,-105.2842,-11.86,79,100,4.12,CA,1708660331
357,galliano,29.4422,-90.2992,20.0,88,0,5.14,US,1708660332
358,kailua-kona,19.6406,-155.9956,25.28,71,40,0.45,US,1708660085
359,codrington,-38.2667,141.9667,16.82,54,95,7.95,AU,1708660332
360,mogocha,53.7333,119.7667,-11.66,72,26,0.72,RU,1708660332
361,calama,-22.4667,-68.9333,12.27,66,0,2.57,CL,1708660333
362,pocatello,42.8713,-112.4455,3.04,75,20,4.12,US,1708660333
363,rouissat,31.9243,5.3502,12.04,43,0,3.09,DZ,1708660333
